"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ptgds",8.97951017590581e-20,-1.10413247062738,0.992,1,2.89903486029119e-15
"Cryab",5.12702866860484e-15,-0.86900385772062,0.97,0.993,1.65526120565907e-10
"Tsc22d4",6.18126558311468e-15,-0.790368768753559,0.777,0.938,1.99562159350857e-10
"Cd81",8.7965910525818e-15,-0.555832589783966,0.932,0.979,2.83997942132603e-10
"Cd63",2.64300754092592e-14,-0.851583488368846,0.579,0.883,8.53294984587934e-10
"Csrp1",8.77714308245462e-14,-0.660991664706925,0.913,0.979,2.83370064417047e-09
"Nkain2",1.2199447208113e-13,1.22011232710209,0.989,0.993,3.93859153113927e-09
"Gstp1",1.41852211254563e-13,-0.885873342069047,0.791,0.924,4.57969864035356e-09
"Ckb",1.9240769678762e-13,-0.735798808847786,0.886,0.952,6.21188249078833e-09
"Cd9",1.1451421142884e-12,-0.738975006258958,0.734,0.931,3.6970913159801e-08
"Tpt1",3.74540961648286e-12,-0.764573902451152,0.649,0.897,1.20920549468149e-07
"Hsp90ab1",6.95071516840587e-12,-0.553581103398039,0.924,0.986,2.24403839211983e-07
"Qdpr",7.14026275932439e-12,-0.66894140738167,0.962,0.972,2.30523383184788e-07
"Hsp90aa1",1.77993934786394e-11,-0.667186228032464,0.788,0.945,5.74653418457874e-07
"Gamt",2.11174004148874e-11,-0.806122937455261,0.514,0.848,6.8177527239464e-07
"Plcl1",2.24409525679002e-11,1.12079288463318,0.946,0.945,7.24506153654656e-07
"Qk",2.73448290376585e-11,0.556653951244022,1,1,8.82827805480806e-07
"St18",2.90872076525154e-11,1.05685292748589,0.91,0.828,9.39080499061461e-07
"St6galnac3",2.97254417944398e-11,1.57246239180931,0.766,0.607,9.59685888333489e-07
"Lrp1b",3.51950147687372e-11,1.10949311149502,0.905,0.807,1.13627105180868e-06
"Hspa8",3.86433638112272e-11,-0.573754774314481,0.91,0.972,1.24760100064547e-06
"Rps5",4.43532861064980e-11,-0.784952736159536,0.603,0.848,1.43194584194829e-06
"Rnf7",4.65451897136457e-11,-0.693783808014866,0.649,0.897,1.50271144990505e-06
"Rpl9",5.6568814811873e-11,-0.724252609763918,0.601,0.897,1.82632418620132e-06
"Slc24a2",6.45235845886048e-11,1.0259603160966,0.946,0.931,2.08314392844311e-06
"Dbi",6.88652033203205e-11,-0.718653030521678,0.709,0.917,2.22331308919655e-06
"Prr5l",7.16001806896069e-11,1.15156262755724,0.88,0.786,2.31161183356396e-06
"Cisd1",7.53257056742071e-11,-0.873369740886915,0.391,0.745,2.43189040769178e-06
"Rpl28",7.92626048494405e-11,-0.758758432065299,0.609,0.828,2.55899319756419e-06
"Mt1",8.7194686743502e-11,-0.942119071836468,0.603,0.821,2.81508046151396e-06
"Atp6v0b",1.05389024328196e-10,-0.726721210362309,0.633,0.883,3.40248465043581e-06
"Rpl7",1.39746811162272e-10,-0.907857238133389,0.467,0.779,4.51172579837396e-06
"Rpl11",1.52838706720996e-10,-0.759567016913584,0.587,0.855,4.93439764648734e-06
"Ptma",2.15583193880875e-10,-0.578523422887448,0.897,0.952,6.96010341444404e-06
"Rps8",2.28394983100232e-10,-0.672320519539646,0.677,0.897,7.373732029391e-06
"Pcdh9",2.8269936898507e-10,1.06768940435505,0.989,0.993,9.12694912768299e-06
"Rpl23",3.44188568024449e-10,-0.7059260121852,0.568,0.869,1.11121279186693e-05
"Fabp5",3.51384761005406e-10,-0.806018566251252,0.603,0.821,1.13444570090595e-05
"Eef1a1",4.0309405813697e-10,-0.538913192143424,0.88,0.966,1.30138916669521e-05
"Sept4",4.40570933732845e-10,-0.516963357822819,0.929,1,1.42238325955649e-05
"Mif",4.75853574382244e-10,-0.843604182308345,0.524,0.786,1.53629326489307e-05
"Cnp",5.35065889054692e-10,-0.476559293899116,0.97,1,1.72746022281307e-05
"Ppia",7.43213927900965e-10,-0.654307778403624,0.758,0.91,2.39946616622827e-05
"Rps17",1.08809057599513e-09,-0.79783948111291,0.399,0.738,3.51290042460028e-05
"Rps3",1.10834690151427e-09,-0.696743792651234,0.579,0.841,3.57829797153882e-05
"Rps10",1.26855322283642e-09,-0.71448689171393,0.587,0.834,4.09552407992737e-05
"Fos",1.36987532064458e-09,-0.678205487083012,0.758,0.952,4.42264247270103e-05
"Ubc",1.74767474952778e-09,-0.701801937037528,0.682,0.89,5.64236792885043e-05
"Bnip3l",2.08182441505625e-09,-0.677595799544347,0.685,0.897,6.72117012400909e-05
"Gpx4",2.09643442533496e-09,-0.68480941912371,0.668,0.869,6.76833854219392e-05
"Cox4i1",2.33927103899294e-09,-0.662988480076788,0.658,0.869,7.55233654938871e-05
"Elmo1",2.48591950619124e-09,1.03964886253506,0.834,0.752,8.02579112573843e-05
"Rpl34",2.61033026047232e-09,-0.739973999614923,0.514,0.821,8.42745124593488e-05
"Rpl23a",3.01208650149558e-09,-0.984731335236447,0.269,0.552,9.72452127007847e-05
"Zfp36",3.41831243933805e-09,-1.31230826010682,0.291,0.566,0.000110360217104029
"Chchd2",3.50140133417666e-09,-1.04940627416338,0.323,0.593,0.000113042742073893
"Rpl32",3.54081965000662e-09,-0.755170572955185,0.484,0.786,0.000114315362400464
"Junb",4.11630523227988e-09,-0.913638777152057,0.375,0.697,0.000132894914424156
"Ddit4",4.55248250094819e-09,-0.701950116933939,0.698,0.897,0.000146976897543112
"Rps27a",4.68249484070141e-09,-0.669755830578387,0.628,0.848,0.000151174345932045
"Tecr",4.95184258613941e-09,-0.529612756473461,0.791,0.979,0.000159870237893511
"Rplp0",5.65500364408709e-09,-0.688527035600247,0.546,0.834,0.000182571792649352
"Rpl30",5.69261221843756e-09,-0.686068936113469,0.584,0.841,0.000183785985472257
