"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cyp4f15",0,7.51199397631028,0.302,0.001,0
"Dbx2",0,7.26784700377092,0.417,0.003,0
"Dio2",0,7.12460402114358,0.328,0.002,0
"Gli3",0,6.85270241035301,0.725,0.008,0
"Pax6",0,6.65832019948912,0.268,0.002,0
"Slco1c1",0,6.5696003688044,0.674,0.007,0
"Etnppl",0,6.55251751678226,0.469,0.005,0
"Gldc",0,6.49645024379813,0.358,0.003,0
"Gm6145",0,6.4622906475407,0.69,0.008,0
"Nat8f3",0,6.44717232539845,0.378,0.003,0
"Arhgef26",0,6.38729521310413,0.54,0.005,0
"Prex2",0,6.33804911659015,0.901,0.031,0
"Emx2os",0,6.31290524337364,0.338,0.004,0
"Grin2c",0,6.30495898969835,0.602,0.007,0
"Gjb6",0,6.2998211656396,0.498,0.005,0
"Celrr",0,6.21111481246633,0.352,0.004,0
"Id4",0,6.15316721626807,0.401,0.004,0
"Bmpr1b",0,6.14845249795661,0.716,0.012,0
"Gm5089",0,6.08138982822936,0.442,0.006,0
"Pdzph1",0,6.05456925363368,0.325,0.004,0
"Gm35552",0,6.05327161350443,0.272,0.004,0
"Acsbg1",0,6.04373210900957,0.573,0.008,0
"Slc7a10",0,5.99925417889657,0.355,0.004,0
"Aox1",0,5.93907197231046,0.418,0.007,0
"Nhsl1",0,5.93702673079133,0.614,0.012,0
"Fgfr3",0,5.92873181147751,0.603,0.008,0
"Ccdc141",0,5.86781054711872,0.488,0.007,0
"Gpc5",0,5.83260434500418,0.991,0.156,0
"Gm11266",0,5.79862000373141,0.392,0.005,0
"Fam107a",0,5.77189374573888,0.457,0.006,0
"Fam20a",0,5.73703899826413,0.602,0.01,0
"Ntsr2",0,5.68547350432553,0.74,0.015,0
"Plcd4",0,5.54130914319058,0.337,0.005,0
"Slc6a11",0,5.51495396259388,0.375,0.006,0
"Slc4a4",0,5.50767392847957,0.859,0.037,0
"Slc38a3",0,5.4852998982366,0.392,0.007,0
"Slc7a2",0,5.47237828472392,0.281,0.005,0
"Ptprz1",0,5.44991079224359,0.924,0.051,0
"Prdm16",0,5.44231006924371,0.458,0.01,0
"Rfx4",0,5.43343018695198,0.466,0.011,0
"Gm10790",0,-5.42462111827026,0.033,0.542,0
"Ndrg2",0,5.42010459373875,0.765,0.022,0
"Rmst",0,5.38012341090438,0.74,0.027,0
"Cbs",0,5.36253572891446,0.284,0.004,0
"Runx1",0,-5.35416166309349,0.035,0.511,0
"Aqp4",0,5.34920004971168,0.282,0.005,0
"F3",0,5.34146629518632,0.514,0.01,0
"Abca9",0,-5.30306752169929,0.033,0.511,0
"Slc1a2",0,5.29915432158065,0.993,0.174,0
"8030442B05Rik",0,-5.27570907636284,0.025,0.373,0
"Hpgds",0,-5.27467725790203,0.033,0.531,0
"Gm973",0,5.26573258819944,0.334,0.005,0
"Nckap1l",0,-5.26429915064819,0.022,0.394,0
"Gpld1",0,5.25789573209044,0.375,0.008,0
"Itih3",0,5.25070100856326,0.308,0.006,0
"Prrx1",0,5.24015926274527,0.318,0.005,0
"Rgs20",0,5.23966052328534,0.802,0.032,0
"Rorb",0,5.23774188506821,0.861,0.054,0
"Ptprc",0,-5.2269949244033,0.029,0.464,0
