"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rgs20",0,2.77777261823073,0.802,0.032,0
"Prex2",0,3.21309346860624,0.901,0.031,0
"Eya1",0,1.89323296402809,0.426,0.01,0
"Paqr8",0,2.55572647822008,0.741,0.042,0
"Adgrb3",0,1.42612643242849,0.961,0.348,0
"Arhgef4",0,1.89035260350296,0.49,0.028,0
"Npas2",0,1.38135319899602,0.39,0.048,0
"Pantr1",0,1.59072409182118,0.412,0.037,0
"Gulp1",0,1.62007719417889,0.326,0.006,0
"Ankrd44",0,-2.52026437335685,0.096,0.655,0
"Plcl1",0,-0.984232691619854,0.602,0.782,0
"Aox1",0,1.99111078779903,0.418,0.007,0
"Gm973",0,1.66772784570745,0.334,0.005,0
"Adam23",0,1.63222296456146,0.521,0.066,0
"Map2",0,1.59603172361267,0.726,0.146,0
"Plcd4",0,1.67864873026964,0.337,0.005,0
"Acsl3",0,2.44733278231041,0.713,0.043,0
"Utp14b",0,1.60886343989257,0.361,0.014,0
"Dock10",0,-2.03419028524751,0.212,0.762,0
"Inpp5d",0,-2.9863233640894,0.057,0.738,0
"Cdh20",0,1.65403061695551,0.727,0.155,0
"Bcl2",0,1.23687527952117,0.451,0.082,0
"Cdh19",0,2.04594418927988,0.708,0.095,0
"Gli2",0,1.7039736070371,0.375,0.011,0
"Celrr",0,1.73754392261708,0.352,0.004,0
"Nckap5",0,2.27184959986771,0.719,0.066,0
"Srgap2",0,-1.86145923160397,0.426,0.874,0
"Ptprc",0,-2.42788041564074,0.029,0.464,0
"Cfh",0,-2.7054299782303,0.041,0.582,0
"Brinp3",0,1.37905425534823,0.622,0.134,0
"Ivns1abp",0,-2.35437590049184,0.181,0.768,0
"Glul",0,1.29196924529709,0.763,0.235,0
"Astn1",0,1.44476598319023,0.507,0.074,0
"Prdx6",0,1.94202544730607,0.481,0.023,0
"Prrx1",0,1.61458321926361,0.318,0.005,0
"Pbx1",0,1.51055669272003,0.89,0.281,0
"Cd84",0,-2.25786775581475,0.028,0.395,0
"Atp1a2",0,2.87620586794416,0.892,0.045,0
